,date_creation,count
0,2019-01-01,115
1,2019-01-01,115
2,2018-01-01,483
3,2019-01-01,115
4,2019-01-01,115
5,2019-01-01,115
6,2019-01-01,115
7,2019-01-01,115
8,2019-01-01,115
9,2019-01-01,115
10,2019-01-01,115
11,2019-01-01,115
12,2019-01-01,115
13,2019-01-01,115
14,2019-01-01,115
15,2019-01-01,115
16,2019-01-01,115
17,2019-01-01,115
18,2019-01-01,115
19,2019-01-01,115
20,2019-01-01,115
21,2019-01-01,115
22,2018-01-01,483
23,2019-01-01,115
24,2019-01-01,115
25,2019-01-01,115
26,2019-01-01,115
27,2019-01-01,115
28,2019-01-01,115
29,2019-01-01,115
30,2019-01-01,115
31,2019-01-01,115
32,2018-01-01,483
33,2018-01-01,483
34,2018-01-01,483
35,2018-01-01,483
36,2018-01-01,483
37,2019-01-01,115
38,2019-01-01,115
39,2019-01-01,115
40,2019-01-01,115
41,2019-01-01,115
42,2019-01-01,115
43,2017-01-01,349
44,2017-01-01,349
45,2017-01-01,349
46,2017-01-01,349
47,2017-01-01,349
48,2017-01-01,349
49,2019-01-01,115
50,2019-01-01,115
51,2019-01-01,115
52,2019-01-01,115
53,2019-01-01,115
54,2018-01-01,483
55,2018-01-01,483
56,2018-01-01,483
57,2018-01-01,483
58,2018-01-01,483
59,2018-01-01,483
60,2018-01-01,483
61,2019-01-01,115
62,2019-01-01,115
63,2019-01-01,115
64,2019-01-01,115
65,2019-01-01,115
66,2019-01-01,115
67,2019-01-01,115
68,2019-01-01,115
69,2019-01-01,115
70,2019-01-01,115
71,2019-01-01,115
72,2017-01-01,349
73,2019-01-01,115
74,2019-01-01,115
75,2018-01-01,483
76,2018-01-01,483
77,2019-01-01,115
78,2019-01-01,115
79,2018-01-01,483
80,2018-01-01,483
81,2018-01-01,483
82,2019-01-01,115
83,2019-01-01,115
84,2018-01-01,483
85,2018-01-01,483
86,2018-01-01,483
87,2018-01-01,483
88,2018-01-01,483
89,2018-01-01,483
90,2018-01-01,483
91,2019-01-01,115
92,2019-01-01,115
93,2019-01-01,115
94,2018-01-01,483
95,2019-01-01,115
96,2019-01-01,115
97,2019-01-01,115
98,2019-01-01,115
99,2019-01-01,115
100,2019-01-01,115
101,2018-01-01,483
102,2018-01-01,483
103,2018-01-01,483
104,2018-01-01,483
105,2018-01-01,483
106,2018-01-01,483
107,2019-01-01,115
108,2019-01-01,115
109,2018-01-01,483
110,2019-01-01,115
111,2019-01-01,115
112,2019-01-01,115
113,2019-01-01,115
114,2019-01-01,115
115,2019-01-01,115
116,2019-01-01,115
117,2019-01-01,115
118,2019-01-01,115
119,2019-01-01,115
120,2019-01-01,115
121,2019-01-01,115
122,2019-01-01,115
123,2019-01-01,115
124,2019-01-01,115
125,2019-01-01,115
126,2019-01-01,115
127,2019-01-01,115
128,2019-01-01,115
129,2019-01-01,115
130,2019-01-01,115
131,2019-01-01,115
132,2019-01-01,115
133,2019-01-01,115
134,2019-01-01,115
135,2018-01-01,483
136,2018-01-01,483
137,2019-01-01,115
138,2018-01-01,483
139,2018-01-01,483
140,2018-01-01,483
141,2018-01-01,483
142,2018-01-01,483
143,2018-01-01,483
144,2018-01-01,483
145,2018-01-01,483
146,2018-01-01,483
147,2018-01-01,483
148,2018-01-01,483
149,2018-01-01,483
150,2018-01-01,483
151,2018-01-01,483
152,2018-01-01,483
153,2018-01-01,483
154,2019-01-01,115
155,2019-01-01,115
156,2018-01-01,483
157,2019-01-01,115
158,2019-01-01,115
159,2019-01-01,115
160,2018-01-01,483
161,2018-01-01,483
162,2019-01-01,115
163,2019-01-01,115
164,2019-01-01,115
165,2019-01-01,115
166,2019-01-01,115
167,2019-01-01,115
168,2019-01-01,115
169,2019-01-01,115
170,2018-01-01,483
171,2018-01-01,483
172,2018-01-01,483
173,2019-01-01,115
174,2019-01-01,115
175,2019-01-01,115
176,2019-01-01,115
177,2019-01-01,115
178,2019-01-01,115
179,2019-01-01,115
180,2018-01-01,483
181,2018-01-01,483
182,2018-01-01,483
183,2018-01-01,483
184,2018-01-01,483
185,2017-01-01,349
186,2018-01-01,483
187,2018-01-01,483
188,2018-01-01,483
189,2017-01-01,349
190,2017-01-01,349
191,2018-01-01,483
192,2018-01-01,483
193,2018-01-01,483
194,2018-01-01,483
195,2018-01-01,483
196,2018-01-01,483
197,2018-01-01,483
198,2018-01-01,483
199,2018-01-01,483
200,2018-01-01,483
201,2018-01-01,483
202,2018-01-01,483
203,2018-01-01,483
204,2018-01-01,483
205,2018-01-01,483
206,2018-01-01,483
207,2018-01-01,483
208,2018-01-01,483
209,2018-01-01,483
210,2018-01-01,483
211,2018-01-01,483
212,2018-01-01,483
213,2018-01-01,483
214,2018-01-01,483
215,2018-01-01,483
216,2018-01-01,483
217,2018-01-01,483
218,2018-01-01,483
219,2018-01-01,483
220,2018-01-01,483
221,2018-01-01,483
222,2018-01-01,483
223,2018-01-01,483
224,2018-01-01,483
225,2018-01-01,483
226,2018-01-01,483
227,2018-01-01,483
228,2018-01-01,483
229,2018-01-01,483
230,2018-01-01,483
231,2018-01-01,483
232,2018-01-01,483
233,2018-01-01,483
234,2018-01-01,483
235,2018-01-01,483
236,2018-01-01,483
237,2018-01-01,483
238,2018-01-01,483
239,2018-01-01,483
240,2018-01-01,483
241,2018-01-01,483
242,2018-01-01,483
243,2018-01-01,483
244,2018-01-01,483
245,2018-01-01,483
246,2018-01-01,483
247,2018-01-01,483
248,2018-01-01,483
249,2018-01-01,483
250,2018-01-01,483
251,2018-01-01,483
252,2018-01-01,483
253,2018-01-01,483
254,2018-01-01,483
255,2018-01-01,483
256,2018-01-01,483
257,2018-01-01,483
258,2018-01-01,483
259,2018-01-01,483
260,2018-01-01,483
261,2018-01-01,483
262,2018-01-01,483
263,2018-01-01,483
264,2018-01-01,483
265,2018-01-01,483
266,2018-01-01,483
267,2018-01-01,483
268,2018-01-01,483
269,2018-01-01,483
270,2018-01-01,483
271,2018-01-01,483
272,2018-01-01,483
273,2018-01-01,483
274,2018-01-01,483
275,2018-01-01,483
276,2018-01-01,483
277,2018-01-01,483
278,2018-01-01,483
279,2018-01-01,483
280,2018-01-01,483
281,2018-01-01,483
282,2018-01-01,483
283,2018-01-01,483
284,2018-01-01,483
285,2018-01-01,483
286,2018-01-01,483
287,2018-01-01,483
288,2018-01-01,483
289,2018-01-01,483
290,2018-01-01,483
291,2018-01-01,483
292,2018-01-01,483
293,2018-01-01,483
294,2018-01-01,483
295,2018-01-01,483
296,2018-01-01,483
297,2018-01-01,483
298,2018-01-01,483
299,2018-01-01,483
300,2018-01-01,483
301,2018-01-01,483
302,2018-01-01,483
303,2018-01-01,483
304,2018-01-01,483
305,2018-01-01,483
306,2018-01-01,483
307,2018-01-01,483
308,2018-01-01,483
309,2018-01-01,483
310,2018-01-01,483
311,2018-01-01,483
312,2017-01-01,349
313,2018-01-01,483
314,2018-01-01,483
315,2018-01-01,483
316,2018-01-01,483
317,2018-01-01,483
318,2018-01-01,483
319,2018-01-01,483
320,2018-01-01,483
321,2018-01-01,483
322,2018-01-01,483
323,2018-01-01,483
324,2018-01-01,483
325,2018-01-01,483
326,2018-01-01,483
327,2018-01-01,483
328,2017-01-01,349
329,2018-01-01,483
330,2018-01-01,483
331,2018-01-01,483
332,2018-01-01,483
333,2018-01-01,483
334,2018-01-01,483
335,2018-01-01,483
336,2018-01-01,483
337,2018-01-01,483
338,2018-01-01,483
339,2018-01-01,483
340,2018-01-01,483
341,2018-01-01,483
342,2018-01-01,483
343,2018-01-01,483
344,2018-01-01,483
345,2018-01-01,483
346,2018-01-01,483
347,2018-01-01,483
348,2018-01-01,483
349,2018-01-01,483
350,2018-01-01,483
351,2018-01-01,483
352,2018-01-01,483
353,2018-01-01,483
354,2017-01-01,349
355,2017-01-01,349
356,2018-01-01,483
357,2018-01-01,483
358,2018-01-01,483
359,2018-01-01,483
360,2018-01-01,483
361,2018-01-01,483
362,2018-01-01,483
363,2018-01-01,483
364,2018-01-01,483
365,2018-01-01,483
366,2014-01-01,1
367,2018-01-01,483
368,2018-01-01,483
369,2018-01-01,483
370,2018-01-01,483
371,1999-01-01,1
372,2018-01-01,483
373,2018-01-01,483
374,2018-01-01,483
375,2017-01-01,349
376,2017-01-01,349
377,2018-01-01,483
378,2018-01-01,483
379,2018-01-01,483
380,2018-01-01,483
381,2017-01-01,349
382,2018-01-01,483
383,2018-01-01,483
384,2018-01-01,483
385,2018-01-01,483
386,2018-01-01,483
387,2018-01-01,483
388,2018-01-01,483
389,2018-01-01,483
390,2018-01-01,483
391,2018-01-01,483
392,2018-01-01,483
393,2018-01-01,483
394,2018-01-01,483
395,2018-01-01,483
396,2018-01-01,483
397,2018-01-01,483
398,2018-01-01,483
399,2018-01-01,483
400,2018-01-01,483
401,2018-01-01,483
402,2018-01-01,483
403,2018-01-01,483
404,2015-01-01,4
405,2015-01-01,4
406,2018-01-01,483
407,2018-01-01,483
408,2018-01-01,483
409,2018-01-01,483
410,2018-01-01,483
411,2018-01-01,483
412,2018-01-01,483
413,2018-01-01,483
414,2018-01-01,483
415,2018-01-01,483
416,2018-01-01,483
417,2018-01-01,483
418,2018-01-01,483
419,2018-01-01,483
420,2018-01-01,483
421,2018-01-01,483
422,2018-01-01,483
423,2018-01-01,483
424,2018-01-01,483
425,2018-01-01,483
426,2018-01-01,483
427,2018-01-01,483
428,2018-01-01,483
429,2018-01-01,483
430,2018-01-01,483
431,2017-01-01,349
432,2017-01-01,349
433,2017-01-01,349
434,2017-01-01,349
435,2017-01-01,349
436,2017-01-01,349
437,2017-01-01,349
438,2017-01-01,349
439,2017-01-01,349
440,2018-01-01,483
441,2018-01-01,483
442,2018-01-01,483
443,2018-01-01,483
444,2018-01-01,483
445,2018-01-01,483
446,2018-01-01,483
447,2018-01-01,483
448,2018-01-01,483
449,2018-01-01,483
450,2018-01-01,483
451,2017-01-01,349
452,2017-01-01,349
453,2017-01-01,349
454,2018-01-01,483
455,2018-01-01,483
456,2018-01-01,483
457,2018-01-01,483
458,2018-01-01,483
459,2018-01-01,483
460,2018-01-01,483
461,2018-01-01,483
462,2018-01-01,483
463,2018-01-01,483
464,2018-01-01,483
465,2018-01-01,483
466,2018-01-01,483
467,2018-01-01,483
468,2016-01-01,27
469,2016-01-01,27
470,2017-01-01,349
471,2018-01-01,483
472,2018-01-01,483
473,2018-01-01,483
474,2018-01-01,483
475,2018-01-01,483
476,2018-01-01,483
477,2018-01-01,483
478,2018-01-01,483
479,2018-01-01,483
480,2018-01-01,483
481,2018-01-01,483
482,2018-01-01,483
483,2018-01-01,483
484,2018-01-01,483
485,2018-01-01,483
486,2018-01-01,483
487,2018-01-01,483
488,2018-01-01,483
489,2018-01-01,483
490,2018-01-01,483
491,2018-01-01,483
492,2018-01-01,483
493,2018-01-01,483
494,2018-01-01,483
495,2018-01-01,483
496,2018-01-01,483
497,2018-01-01,483
498,2018-01-01,483
499,2017-01-01,349
500,2015-01-01,4
